discount,img,platform,price,time,title
-29%,https://s2.gaming-cdn.com/images/products/11272/380x218/age-of-empires-iii-definitive-edition-knights-of-the-mediterranean-xbox-series-x-s-pc-game-steam-cover.jpg?v=1653463616,None,7.09€,20/10/2022 ::16:11:50,Age of Empires III: Definitive Edition - Knights of the Mediterranean
-78%,https://s3.gaming-cdn.com/images/products/11018/380x218/dinosaur-fossil-hunter-pc-game-steam-cover.jpg?v=1661780467,None,3.75€,20/10/2022 ::16:11:50,Dinosaur Fossil Hunter
-69%,https://s3.gaming-cdn.com/images/products/10925/380x218/crusader-kings-iii-fate-of-iberia-pc-mac-game-steam-cover.jpg?v=1654180585,None,4.09€,20/10/2022 ::16:11:50,Crusader Kings III: Fate of Iberia
-43%,https://s2.gaming-cdn.com/images/products/12358/380x218/tiny-tina-s-wonderlands-pc-game-steam-europe-cover.jpg?v=1656330004,None,33.99€,20/10/2022 ::16:11:50,Tiny Tina's Wonderlands
-43%,https://s1.gaming-cdn.com/images/products/11739/380x218/jurassic-world-evolution-2-dominion-biosyn-expansion-pc-game-steam-cover.jpg?v=1655307268,None,11.49€,20/10/2022 ::16:11:50,Jurassic World Evolution 2: Dominion Biosyn Expansion
-43%,https://s3.gaming-cdn.com/images/products/10634/380x218/monster-hunter-rise-sunbreak-deluxe-edition-deluxe-edition-pc-game-steam-cover.jpg?v=1666177775,None,28.99€,20/10/2022 ::16:11:50,Monster Hunter Rise: Sunbreak Deluxe Edition
-33%,https://s3.gaming-cdn.com/images/products/12893/380x218/cities-skylines-content-creator-pack-seaside-resorts-pc-mac-game-steam-cover.jpg?v=1663225726,None,3.99€,20/10/2022 ::16:11:50,Cities: Skylines - Content Creator Pack: Seaside Resorts
-17%,https://s2.gaming-cdn.com/images/products/13048/380x218/prison-architect-undead-pc-mac-game-steam-cover.jpg?v=1665559810,None,2.49€,20/10/2022 ::16:11:50,Prison Architect - Undead
-38%,https://s1.gaming-cdn.com/images/products/12351/380x218/way-of-the-hunter-elite-edition-elite-edition-pc-game-steam-cover.jpg?v=1660636625,None,33.98€,20/10/2022 ::16:11:50,Way of the Hunter Elite Edition
-26%,https://s3.gaming-cdn.com/images/products/11606/380x218/builder-simulator-pc-game-steam-cover.jpg?v=1655304261,None,12.49€,20/10/2022 ::16:11:50,Builder Simulator
-43%,https://s2.gaming-cdn.com/images/products/12343/380x218/autobahn-police-simulator-3-pc-game-steam-cover.jpg?v=1656429910,None,17.05€,20/10/2022 ::16:11:50,Autobahn Police Simulator 3
-35%,https://s1.gaming-cdn.com/images/products/11040/380x218/outriders-worldslayer-upgrade-pc-game-steam-cover.jpg?v=1666177834,None,25.99€,20/10/2022 ::16:11:50,Outriders Worldslayer Upgrade
-37%,https://s1.gaming-cdn.com/images/products/12147/380x218/prison-architect-gangs-pc-mac-game-steam-cover.jpg?v=1665478511,None,3.75€,20/10/2022 ::16:11:50,Prison Architect - Gangs
-43%,https://s2.gaming-cdn.com/images/products/11080/380x218/way-of-the-hunter-pc-game-steam-cover.jpg?v=1658739360,None,22.99€,20/10/2022 ::16:11:50,Way of the Hunter
-28%,https://s2.gaming-cdn.com/images/products/9667/380x218/sackboy-a-big-adventure-pc-game-steam-cover.jpg?v=1665496379,None,43.49€,20/10/2022 ::16:11:50,Sackboy: A Big Adventure
-70%,https://s3.gaming-cdn.com/images/products/13058/380x218/cities-skylines-new-player-bundle-new-player-bundle-pc-mac-game-steam-cover.jpg?v=1665687362,None,19.28€,20/10/2022 ::16:11:50,Cities: Skylines - New Player Bundle
-25%,https://s1.gaming-cdn.com/images/products/12723/380x218/the-dark-pictures-anthology-the-devil-in-me-pc-game-steam-europe-cover.jpg?v=1661759493,None,29.89€,20/10/2022 ::16:11:50,The Dark Pictures Anthology: The Devil in Me
-48%,https://s3.gaming-cdn.com/images/products/10187/380x218/starship-troopers-terran-command-pc-game-steam-cover.jpg?v=1655467833,None,12.99€,20/10/2022 ::16:11:50,Starship Troopers - Terran Command
-52%,https://s2.gaming-cdn.com/images/products/11779/380x218/wrc-generations-pc-game-steam-cover.jpg?v=1658154225,None,23.99€,20/10/2022 ::16:11:50,WRC Generations
-87%,https://s2.gaming-cdn.com/images/products/8734/380x218/warpips-pc-game-steam-cover.jpg?v=1652794370,None,1.98€,20/10/2022 ::16:11:50,Warpips
-58%,https://s1.gaming-cdn.com/images/products/10626/380x218/pro-cycling-manager-2022-pc-game-steam-europe-cover.jpg?v=1655304345,None,16.99€,20/10/2022 ::16:11:50,Pro Cycling Manager 2022
-37%,https://s1.gaming-cdn.com/images/products/7968/380x218/king-arthur-knight-s-tale-pc-game-steam-cover.jpg?v=1662968156,None,28.52€,20/10/2022 ::16:11:50,King Arthur: Knight's Tale
-39%,https://s1.gaming-cdn.com/images/products/11688/380x218/hatsune-miku-project-diva-mega-mix-pc-game-steam-cover.jpg?v=1654165144,None,23.99€,20/10/2022 ::16:11:50,Hatsune Miku: Project DIVA Mega Mix+
-25%,https://s2.gaming-cdn.com/images/products/12682/380x218/new-tales-from-the-borderlands-pc-game-steam-europe-cover.jpg?v=1661418823,None,29.99€,20/10/2022 ::16:11:50,New Tales from The Borderlands
-47%,https://s3.gaming-cdn.com/images/products/12539/380x218/steelrising-bastille-edition-bastille-edition-pc-game-steam-cover.jpg?v=1662662794,None,31.99€,20/10/2022 ::16:11:50,Steelrising - Bastille Edition
-3%,https://s2.gaming-cdn.com/images/products/8977/380x218/powerwash-simulator-pc-game-steam-cover.jpg?v=1657869315,None,24.20€,20/10/2022 ::16:11:50,PowerWash Simulator
-28%,https://s1.gaming-cdn.com/images/products/13062/380x218/the-last-oricru-pc-game-steam-cover.jpg?v=1665739414,None,28.89€,20/10/2022 ::16:11:50,The Last Oricru
-34%,https://s3.gaming-cdn.com/images/products/9578/380x218/sniper-elite-5-pc-game-steam-europe-cover.jpg?v=1657723244,None,32.99€,20/10/2022 ::16:11:50,Sniper Elite 5
-30%,https://s2.gaming-cdn.com/images/products/10129/380x218/dune-spice-wars-pc-game-steam-cover.jpg?v=1651674306,None,20.99€,20/10/2022 ::16:11:50,Dune: Spice Wars
-26%,https://s2.gaming-cdn.com/images/products/11155/380x218/house-flipper-pets-pc-mac-game-steam-cover.jpg?v=1653376967,None,9.29€,20/10/2022 ::16:11:50,House Flipper - Pets
-28%,https://s3.gaming-cdn.com/images/products/12530/380x218/nba-2k23-michael-jordan-edition-michael-jordan-edition-pc-game-steam-europe-cover.jpg?v=1662709523,None,72.49€,20/10/2022 ::16:11:50,NBA 2K23 Michael Jordan Edition
-44%,https://s1.gaming-cdn.com/images/products/12930/380x218/brewmaster-beer-brewing-simulator-pc-game-steam-cover.jpg?v=1664456403,None,9.99€,20/10/2022 ::16:11:50,Brewmaster: Beer Brewing Simulator
-43%,https://s2.gaming-cdn.com/images/products/12523/380x218/necrosmith-pc-game-steam-cover.jpg?v=1658236945,None,1.37€,20/10/2022 ::16:11:50,Necrosmith
-43%,https://s3.gaming-cdn.com/images/products/11039/380x218/outriders-worldslayer-worldslayer-pc-game-steam-cover.jpg?v=1654863155,None,33.99€,20/10/2022 ::16:11:50,Outriders Worldslayer
-38%,https://s2.gaming-cdn.com/images/products/12823/380x218/trail-out-pc-game-steam-cover.jpg?v=1662710167,None,10.48€,20/10/2022 ::16:11:50,Trail Out
-17%,https://s3.gaming-cdn.com/images/products/12902/380x218/jurassic-world-evolution-2-late-cretaceous-pack-pc-game-steam-cover.jpg?v=1663239992,None,6.66€,20/10/2022 ::16:11:50,Jurassic World Evolution 2: Late Cretaceous Pack
-16%,https://s1.gaming-cdn.com/images/products/5208/380x218/house-party-pc-game-steam-cover.jpg?v=1659225137,None,20.99€,20/10/2022 ::16:11:50,House Party
-10%,https://s2.gaming-cdn.com/images/products/12910/380x218/judgment-pc-game-steam-europe-cover.jpg?v=1663664526,None,35.85€,20/10/2022 ::16:11:50,Judgment
-21%,https://s2.gaming-cdn.com/images/products/7072/380x218/hogwarts-legacy-pc-game-steam-europe-cover.jpg?v=1661513846,None,47.69€,20/10/2022 ::16:11:50,Hogwarts Legacy
-38%,https://s1.gaming-cdn.com/images/products/12726/380x218/the-case-of-the-golden-idol-pc-game-steam-cover.jpg?v=1665735154,None,11.20€,20/10/2022 ::16:11:50,The Case of the Golden Idol
-23%,https://s3.gaming-cdn.com/images/products/12611/380x218/humankind-cultures-of-latin-america-pack-pc-mac-game-steam-europe-cover.jpg?v=1659379579,None,6.96€,20/10/2022 ::16:11:50,HUMANKIND - Cultures of Latin America Pack
-24%,https://s3.gaming-cdn.com/images/products/12800/380x218/new-tales-from-the-borderlands-deluxe-edition-deluxe-edition-pc-game-steam-europe-cover.jpg?v=1666194600,None,37.99€,20/10/2022 ::16:11:50,New Tales from The Borderlands Deluxe Edition
-29%,https://s2.gaming-cdn.com/images/products/8926/380x218/two-point-campus-pc-mac-game-steam-europe-cover.jpg?v=1660031226,None,28.49€,20/10/2022 ::16:11:50,Two Point Campus
-18%,https://s1.gaming-cdn.com/images/products/10131/380x218/sonic-frontiers-pc-game-steam-cover.jpg?v=1661357757,None,48.99€,20/10/2022 ::16:11:50,Sonic Frontiers
-51%,https://s3.gaming-cdn.com/images/products/12434/380x218/fobia-st-dinfna-hotel-pc-game-steam-cover.jpg?v=1656576766,None,12.13€,20/10/2022 ::16:11:50,Fobia - St. Dinfna Hotel
-56%,https://s3.gaming-cdn.com/images/products/10619/380x218/spirit-of-the-island-pc-game-steam-cover.jpg?v=1649774738,None,10.99€,20/10/2022 ::16:11:50,Spirit of the Island
-22%,https://s2.gaming-cdn.com/images/products/13000/380x218/star-ocean-the-divine-force-digital-deluxe-edition-digital-deluxe-edition-pc-game-steam-cover.jpg?v=1666188067,None,58.69€,20/10/2022 ::16:11:50,Star Ocean: The Divine Force Digital Deluxe Edition
-25%,https://s3.gaming-cdn.com/images/products/12761/380x218/commandos-3-hd-remaster-pc-game-steam-cover.jpg?v=1661942458,None,14.99€,20/10/2022 ::16:11:50,Commandos 3 - HD Remaster
-30%,https://s3.gaming-cdn.com/images/products/13070/380x218/terror-of-hemasaurus-pc-game-steam-cover.jpg?v=1666091800,None,7.50€,20/10/2022 ::16:11:50,Terror of Hemasaurus
-45%,https://s3.gaming-cdn.com/images/products/12941/380x218/spiderheck-pc-game-steam-cover.jpg?v=1663921787,None,8.29€,20/10/2022 ::16:11:50,SpiderHeck
-30%,https://s2.gaming-cdn.com/images/products/12679/380x218/the-ascent-cyber-heist-pc-game-steam-europe-cover.jpg?v=1660838823,None,6.99€,20/10/2022 ::16:11:50,The Ascent - Cyber Heist
-47%,https://s2.gaming-cdn.com/images/products/7258/380x218/steelrising-pc-game-steam-cover.jpg?v=1662662804,None,26.49€,20/10/2022 ::16:11:50,Steelrising
